overall,metric,count,mean,median,std,iqr,q25,q75,improvement_rate,wilcoxon_p_value,n,p
,delta_energy_variance,10,-0.21665898771132927,-0.14652681443395132,0.20628666833980214,0.3820866549952948,-0.41700447743945224,-0.0349178224441574,0.9,0.001953125,6.0,0.3
,delta_p_ground,10,0.24039878371889367,0.16554022798458426,0.2507700725180248,0.4447872477047707,0.027302824011444723,0.4720900717162154,0.9,0.0048828125,6.0,0.3
,delta_expected_feasible_energy,10,-0.2459503203900709,-0.15856523479538226,0.2785380996027352,0.5219388122155679,-0.5242942823247491,-0.0023554701091811,0.7,0.0185546875,6.0,0.3
,delta_feasible_energy_variance,10,-0.1668159944337605,-0.10796503065230406,0.18095678939291723,0.32019846295178084,-0.32770456632551803,-0.007506103373737175,0.9,0.0068359375,6.0,0.3
,delta_p_feas,10,0.03362592299283639,0.03082860387295495,0.014558976286059453,0.022983898622409,0.0230150003511632,0.0459988989735722,1.0,0.0009765625,6.0,0.3
,delta_energy,10,-0.39875949857116205,-0.43897698702241406,0.1782759166183539,0.2813035278515479,-0.5432491631960674,-0.26194563534451953,1.0,0.0009765625,6.0,0.5
,delta_energy_variance,10,-0.3232341551878625,-0.35675988253282725,0.1211535457352017,0.1758104893502233,-0.4263149777940884,-0.2505044884438651,1.0,0.0009765625,6.0,0.5
,delta_p_ground,10,0.338234929932082,0.3693884315075585,0.15072581950544062,0.23189174346766087,0.23117494631355898,0.46306668978121984,1.0,0.0009765625,6.0,0.5
,delta_expected_feasible_energy,10,-0.3538348366645649,-0.39155312341288706,0.1597708252072372,0.24197761467214274,-0.47955355288578333,-0.2375759382136406,1.0,0.0009765625,6.0,0.5
,delta_feasible_energy_variance,10,-0.2598942185299967,-0.285923354512281,0.0977783532306232,0.12619276417240424,-0.3321669498987636,-0.20597418572635937,1.0,0.0009765625,6.0,0.5
,delta_p_feas,10,0.02820310843189693,0.028356190792085498,0.012646423137525637,0.016240875591888276,0.019963225521429574,0.03620410111331785,1.0,0.0009765625,6.0,0.5
,delta_energy,10,-0.2007746613323286,-0.1196243826845311,0.2146001918317708,0.16947762366774932,-0.23931779891629412,-0.0698401752485448,0.9,0.001953125,6.0,0.7
,delta_energy_variance,10,-0.16368693387920352,-0.1176983143669713,0.14186479682243341,0.15786453754585328,-0.2260386118728334,-0.06817407432698011,0.9,0.001953125,6.0,0.7
,delta_p_ground,10,0.17611344100827922,0.1094722495542472,0.18318939254669658,0.15041279476534658,0.0637622810347163,0.2141750758000629,0.9,0.001953125,6.0,0.7
,delta_expected_feasible_energy,10,-0.1791790876094021,-0.1146198898335544,0.1964931574048053,0.159280527775921,-0.22445082475244638,-0.06517029697652538,0.9,0.001953125,6.0,0.7
,delta_feasible_energy_variance,10,-0.13740225553229876,-0.1107664320472852,0.1202173385604495,0.13971567768197654,-0.20330722663006534,-0.0635915489480888,0.9,0.001953125,6.0,0.7
,delta_p_feas,10,0.016237910386447445,0.0072815879690973,0.018016638513731826,0.015120169842258401,0.00645009450782915,0.02157026435008755,0.9,0.001953125,6.0,0.7
,delta_energy,10,-0.5205554659253192,-0.4094018055245986,0.2757390616968183,0.31944067958026284,-0.6499975387824597,-0.33055685920219685,1.0,0.0009765625,9.0,0.1
,delta_energy_variance,10,-0.32524392667486307,-0.3337389884629046,0.07425779038291512,0.1010197426561601,-0.3882976090482695,-0.2872778663921094,1.0,0.0009765625,9.0,0.1
,delta_p_ground,10,0.41804657896664,0.32969421236724794,0.2295806149492737,0.2646740473414411,0.25805318643279224,0.5227272337742334,1.0,0.0009765625,9.0,0.1
,delta_expected_feasible_energy,10,-0.47550710915773065,-0.3710876877107515,0.2557663691297126,0.3040315477105572,-0.6055488126225248,-0.3015172649119676,1.0,0.0009765625,9.0,0.1
,delta_feasible_energy_variance,10,-0.26277110138110704,-0.2679671817705151,0.06856803564658048,0.08479240683890521,-0.3150158775510368,-0.23022347071213162,1.0,0.0009765625,9.0,0.1
,delta_p_feas,10,0.02825840306201922,0.01908047675104555,0.023882117782832134,0.009716171646374103,0.018418697152535198,0.0281348687989093,1.0,0.0009765625,9.0,0.1
,delta_energy,10,-0.43092275182110046,-0.2807144135807216,0.422546028755026,0.7718792393341967,-0.866371325511688,-0.09449208617749143,0.9,0.0048828125,9.0,0.3
,delta_energy_variance,10,-0.2631753219983103,-0.23670810866878145,0.20403453978437144,0.37638057882358644,-0.4701716002191694,-0.09379102139558299,0.9,0.001953125,9.0,0.3
,delta_p_ground,10,0.3425416968206275,0.2327989932247852,0.33695292205733557,0.6163085514313692,0.07905906149524175,0.695367612926611,0.8,0.0068359375,9.0,0.3
